Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Earth Mover's Distance,Atomic_Size2_Loop,300,"[1075, 1493, 1935]","[999, 1999]",0.8,00:16:16
Earth Mover's Distance,Atomic_Size2_SerialMove,400,"[955, 1938]","[999, 1999]",1.0,00:22:17
Earth Mover's Distance,Atomic_Size2_Loop,500,"[1077, 1925]","[999, 1999]",1.0,00:27:58
Earth Mover's Distance,Atomic_Size2_ConditionalMove,100,"[944, 1933, 2295]","[999, 1999]",0.8,00:05:00
Earth Mover's Distance,Atomic_Size2_Skip,100,[962],"[999, 1999]",0.6666666666666666,00:04:44
Earth Mover's Distance,Atomic_Size2_ParallelMove,400,"[952, 1943]","[999, 1999]",1.0,00:22:16
Earth Mover's Distance,Atomic_Size2_Substitute,500,"[958, 1956]","[999, 1999]",1.0,00:28:30
Earth Mover's Distance,Atomic_Size2_SerialMove,300,"[952, 1938]","[999, 1999]",1.0,00:16:04
Earth Mover's Distance,Atomic_Size2_Skip,500,"[939, 1248, 1930]","[999, 1999]",0.8,00:27:39
Earth Mover's Distance,Atomic_Size2_ConditionalMove,400,"[944, 1927]","[999, 1999]",1.0,00:22:54
Earth Mover's Distance,Atomic_Size2_ConditionalRemoval,100,[1057],"[999, 1999]",0.6666666666666666,00:04:24
Earth Mover's Distance,Atomic_Size2_Skip,400,"[1162, 2031]","[999, 1999]",1.0,00:21:58
Earth Mover's Distance,Atomic_Size2_Swap,200,"[273, 944, 1944]","[999, 1999]",0.8,00:09:38
Earth Mover's Distance,Atomic_Size2_ParallelMove,100,"[938, 1917, 2713]","[999, 1999]",0.8,00:04:57
Earth Mover's Distance,Atomic_Size2_ParallelToSequence,200,"[650, 957, 1438, 1975]","[999, 1999]",0.6666666666666666,00:10:39
Earth Mover's Distance,Atomic_Size2_ParallelRemoval,300,"[988, 1635, 1935]","[999, 1999]",0.8,00:15:26
Earth Mover's Distance,Atomic_Size2_ConditionalRemoval,200,"[968, 1601, 1950]","[999, 1999]",0.8,00:09:17
Earth Mover's Distance,Atomic_Size2_ConditionalRemoval,400,"[953, 1949]","[999, 1999]",1.0,00:20:32
Earth Mover's Distance,Atomic_Size2_Substitute,200,"[956, 1946, 2685]","[999, 1999]",0.8,00:10:30
Earth Mover's Distance,Atomic_Size2_ConditionalToSequence,500,"[955, 1934]","[999, 1999]",1.0,00:29:16
Earth Mover's Distance,Atomic_Size2_Skip,600,"[958, 1212, 1948]","[999, 1999]",0.8,00:33:07
Earth Mover's Distance,Atomic_Size2_ParallelMove,500,"[937, 1918]","[999, 1999]",1.0,00:27:51
Earth Mover's Distance,Atomic_Size2_ConditionalMove,200,"[943, 1927, 2521]","[999, 1999]",0.8,00:10:40
Earth Mover's Distance,Atomic_Size2_ConditionalToSequence,300,"[941, 1448, 1950]","[999, 1999]",0.8,00:16:47
Earth Mover's Distance,Atomic_Size2_Frequency,300,"[967, 1945]","[999, 1999]",1.0,00:08:29
Earth Mover's Distance,Atomic_Size2_ParallelToSequence,300,"[951, 1981]","[999, 1999]",1.0,00:15:58
Earth Mover's Distance,Atomic_Size2_Frequency,500,"[960, 1950]","[999, 1999]",1.0,00:15:09
Earth Mover's Distance,Atomic_Size2_Swap,300,"[949, 1944]","[999, 1999]",1.0,00:13:48
Earth Mover's Distance,Atomic_Size2_SerialRemoval,600,"[957, 1945]","[999, 1999]",1.0,00:28:57
Earth Mover's Distance,Atomic_Size2_Frequency,400,"[927, 1945]","[999, 1999]",1.0,00:10:09
Earth Mover's Distance,Atomic_Size2_Substitute,600,"[958, 1956]","[999, 1999]",1.0,00:28:04
