Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Maaradji Runs,Atomic_Size2_Swap_5,400,[],"[999, 1999]",,00:04:49
Maaradji Runs,Atomic_Size2_ParallelMove_5,500,[],"[999, 1999]",,00:05:15
Maaradji Runs,Atomic_Size2_ConditionalToSequence_5,100,[],"[999, 1999]",,00:04:55
Maaradji Runs,Atomic_Size2_ParallelToSequence_5,500,[],"[999, 1999]",,00:05:20
Maaradji Runs,Atomic_Size2_ParallelMove_5,400,[],"[999, 1999]",,00:05:12
Maaradji Runs,Atomic_Size2_ParallelToSequence_5,100,[],"[999, 1999]",,00:05:03
Maaradji Runs,Atomic_Size2_SerialMove_5,200,[],"[999, 1999]",,00:05:03
Maaradji Runs,Atomic_Size2_ParallelRemoval_5,200,[],"[999, 1999]",,00:05:44
Maaradji Runs,Atomic_Size2_Frequency_5,300,[1962],"[999, 1999]",0.6666666666666666,00:02:12
Maaradji Runs,Atomic_Size2_Frequency_5,500,[1862],"[999, 1999]",0.6666666666666666,00:02:25
Maaradji Runs,Atomic_Size2_Substitute_5,300,[],"[999, 1999]",,00:06:31
Maaradji Runs,Atomic_Size2_ParallelToSequence_5,300,[],"[999, 1999]",,00:05:34
Maaradji Runs,Atomic_Size2_SerialRemoval_5,600,[],"[999, 1999]",,00:04:47
Maaradji Runs,Atomic_Size2_ParallelRemoval_5,300,[],"[999, 1999]",,00:04:38
Maaradji Runs,Atomic_Size2_ConditionalRemoval_5,400,[],"[999, 1999]",,00:03:55
Maaradji Runs,Atomic_Size2_ConditionalMove_5,500,[],"[999, 1999]",,00:04:42
Maaradji Runs,Atomic_Size2_SerialRemoval_5,500,[],"[999, 1999]",,00:03:51
Maaradji Runs,Atomic_Size2_Substitute_5,200,[],"[999, 1999]",,00:04:17
Maaradji Runs,Atomic_Size2_Frequency_5,100,[],"[999, 1999]",,00:01:25
Maaradji Runs,Atomic_Size2_ConditionalRemoval_5,500,[],"[999, 1999]",,00:03:17
