Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialRemoval_5,100,[],"[999, 1999]",,00:15:39
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalRemoval_5,100,[1873],"[999, 1999]",0.6666666666666666,00:18:21
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalRemoval_5,100,[],"[999, 1999]",,00:15:27
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialMove_5,400,[723],"[999, 1999]",,00:30:08
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialMove_5,400,[],"[999, 1999]",,00:31:16
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Swap_5,200,[707],"[999, 1999]",,00:21:08
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Swap_5,200,[],"[999, 1999]",,00:20:47
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Substitute_5,300,"[866, 1751]","[999, 1999]",0.5,00:29:19
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Substitute_5,300,[],"[999, 1999]",,00:30:29
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Skip_5,300,[955],"[999, 1999]",0.6666666666666666,00:26:41
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Skip_5,300,[],"[999, 1999]",,00:28:24
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Loop_5,200,"[945, 1890]","[999, 1999]",1.0,00:20:55
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Loop_5,200,[],"[999, 1999]",,00:20:57
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelToSequence_5,400,"[906, 1724]","[999, 1999]",0.5,00:29:20
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelToSequence_5,400,[],"[999, 1999]",,00:30:53
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialRemoval_5,200,"[955, 1806]","[999, 1999]",1.0,00:22:55
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialRemoval_5,200,[],"[999, 1999]",,00:22:40
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelRemoval_5,100,[],"[999, 1999]",,00:18:34
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelRemoval_5,100,[],"[999, 1999]",,00:15:36
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelMove_5,100,[],"[999, 1999]",,00:19:02
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelMove_5,100,[],"[999, 1999]",,00:15:37
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalToSequence_5,400,"[594, 1861]","[999, 1999]",0.5,00:30:00
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalToSequence_5,400,[],"[999, 1999]",,00:31:39
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalMove_5,600,"[1038, 1938]","[999, 1999]",1.0,00:33:13
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalMove_5,600,[],"[999, 1999]",,00:36:00
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelRemoval_5,200,"[825, 1942]","[999, 1999]",1.0,00:23:07
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelRemoval_5,200,[],"[999, 1999]",,00:22:21
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelToSequence_5,200,[972],"[999, 1999]",0.6666666666666666,00:23:03
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelToSequence_5,200,[],"[999, 1999]",,00:22:32
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelMove_5,500,[],"[999, 1999]",,00:30:35
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelMove_5,500,[],"[999, 1999]",,00:31:05
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Loop_5,100,[1907],"[999, 1999]",0.6666666666666666,00:17:34
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Loop_5,100,[],"[999, 1999]",,00:14:31
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelMove_5,400,[],"[999, 1999]",,00:29:43
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelMove_5,400,[],"[999, 1999]",,00:30:54
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialRemoval_5,400,"[722, 1737]","[999, 1999]",,00:29:58
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialRemoval_5,400,[],"[999, 1999]",,00:31:23
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Swap_5,600,[],"[999, 1999]",,00:29:29
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Swap_5,600,[],"[999, 1999]",,00:31:56
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Substitute_5,100,"[907, 1283]","[999, 1999]",0.5,00:20:50
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Substitute_5,100,[],"[999, 1999]",,00:16:59
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Loop_5,400,"[808, 1828]","[999, 1999]",1.0,00:27:46
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Loop_5,400,[],"[999, 1999]",,00:28:46
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Skip_5,100,[2025],"[999, 1999]",0.6666666666666666,00:18:58
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Skip_5,100,[],"[999, 1999]",,00:15:53
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Frequency_5,200,[1813],"[999, 1999]",0.6666666666666666,00:11:45
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Frequency_5,200,[],"[999, 1999]",,00:11:42
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialRemoval_5,500,"[515, 1719]","[999, 1999]",,00:30:26
