Algorithm/Options,Log,Window Size,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Process Graph Metrics,Atomic_Size2_Substitute_5,200,400,"[987, 2038]","[999, 1999]",1.0,00:00:31
Process Graph Metrics,Atomic_Size2_ParallelMove_5,200,400,"[940, 2158]","[999, 1999]",1.0,00:00:34
Process Graph Metrics,Atomic_Size2_SerialRemoval_5,100,200,[],"[999, 1999]",,00:00:15
Process Graph Metrics,Atomic_Size2_ParallelMove_5,500,1000,"[991, 2081]","[999, 1999]",1.0,00:00:33
Process Graph Metrics,Atomic_Size2_ConditionalMove_5,600,1200,"[1099, 2179]","[999, 1999]",1.0,00:00:10
Process Graph Metrics,Atomic_Size2_ParallelMove_5,100,200,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_ConditionalMove_5,300,600,"[1079, 2063]","[999, 1999]",1.0,00:00:13
Process Graph Metrics,Atomic_Size2_ConditionalMove_5,200,400,[1055],"[999, 1999]",0.6666666666666666,00:00:33
Process Graph Metrics,Atomic_Size2_ConditionalMove_5,500,1000,"[1099, 2179]","[999, 1999]",1.0,00:00:10
Process Graph Metrics,Atomic_Size2_SerialMove_5,500,1000,[1056],"[999, 1999]",0.6666666666666666,00:00:58
Process Graph Metrics,Atomic_Size2_Skip_5,300,600,[2045],"[999, 1999]",0.6666666666666666,00:01:51
Process Graph Metrics,Atomic_Size2_Loop_5,300,600,[1022],"[999, 1999]",0.6666666666666666,00:00:18
Process Graph Metrics,Atomic_Size2_ParallelRemoval_5,600,1200,[1093],"[999, 1999]",0.6666666666666666,00:02:42
Process Graph Metrics,Atomic_Size2_Skip_5,100,200,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_Swap_5,600,1200,[],"[999, 1999]",,00:00:11
Process Graph Metrics,Atomic_Size2_ConditionalRemoval_5,200,400,"[1014, 2005]","[999, 1999]",1.0,00:00:30
Process Graph Metrics,Atomic_Size2_Skip_5,600,1200,[1383],"[999, 1999]",,00:00:42
Process Graph Metrics,Atomic_Size2_SerialRemoval_5,600,1200,"[978, 2146]","[999, 1999]",1.0,00:00:57
Process Graph Metrics,Atomic_Size2_ConditionalToSequence_5,500,1000,"[1009, 2104]","[999, 1999]",1.0,00:01:13
Process Graph Metrics,Atomic_Size2_Swap_5,400,800,[],"[999, 1999]",,00:00:12
Process Graph Metrics,Atomic_Size2_ConditionalToSequence_5,400,800,"[1009, 2067]","[999, 1999]",1.0,00:00:58
