Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Maaradji Runs,Atomic_Size2_Swap,100,[],"[999, 1999]",,00:07:24
Maaradji Runs,Atomic_Size2_Swap,500,"[768, 1735]","[999, 1999]",,00:07:21
Maaradji Runs,Atomic_Size2_Frequency,600,"[837, 1834]","[999, 1999]",1.0,00:02:28
Maaradji Runs,Atomic_Size2_Loop,300,[],"[999, 1999]",,00:07:59
Maaradji Runs,Atomic_Size2_ConditionalMove,400,[],"[999, 1999]",,00:08:32
Maaradji Runs,Atomic_Size2_ConditionalRemoval,200,[],"[999, 1999]",,00:07:06
Maaradji Runs,Atomic_Size2_ParallelMove,300,[],"[999, 1999]",,00:08:03
Maaradji Runs,Atomic_Size2_ParallelMove,500,"[947, 1915]","[999, 1999]",1.0,00:08:24
Maaradji Runs,Atomic_Size2_ParallelRemoval,400,"[945, 1888]","[999, 1999]",1.0,00:07:38
Maaradji Runs,Atomic_Size2_Swap,200,"[918, 1925]","[999, 1999]",1.0,00:07:15
Maaradji Runs,Atomic_Size2_Skip,600,[1023],"[999, 1999]",0.6666666666666666,00:08:38
Maaradji Runs,Atomic_Size2_ConditionalRemoval,100,[],"[999, 1999]",,00:07:22
Maaradji Runs,Atomic_Size2_SerialRemoval,200,[],"[999, 1999]",,00:08:08
Maaradji Runs,Atomic_Size2_ConditionalToSequence,400,"[924, 1949]","[999, 1999]",1.0,00:08:28
Maaradji Runs,Atomic_Size2_Skip,300,[],"[999, 1999]",,00:08:15
Maaradji Runs,Atomic_Size2_ParallelMove,100,[],"[999, 1999]",,00:06:30
Maaradji Runs,Atomic_Size2_Frequency,100,[],"[999, 1999]",,00:02:00
Maaradji Runs,Atomic_Size2_SerialRemoval,100,[],"[999, 1999]",,00:05:56
Maaradji Runs,Atomic_Size2_ParallelToSequence,600,[],"[999, 1999]",,00:05:46
Maaradji Runs,Atomic_Size2_Frequency,500,"[871, 1866]","[999, 1999]",1.0,00:01:36
Maaradji Runs,Atomic_Size2_Swap,400,"[812, 1801]","[999, 1999]",1.0,00:04:17
Maaradji Runs,Atomic_Size2_SerialRemoval,300,"[960, 2001]","[999, 1999]",1.0,00:04:38
