Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Bose Average J,Atomic_Size2_Loop,300,"[994, 1924]","[999, 1999]",1.0,00:18:10
Bose Average WC,Atomic_Size2_Loop,300,[2166],"[999, 1999]",0.6666666666666666,00:16:02
Bose Average J,Atomic_Size2_Swap,400,"[628, 1046, 1464, 1912]","[999, 1999]",0.6666666666666666,00:20:18
Bose Average WC,Atomic_Size2_Swap,400,[690],"[999, 1999]",,00:17:55
Bose Average J,Atomic_Size2_ParallelToSequence,100,[],"[999, 1999]",,00:14:46
Bose Average WC,Atomic_Size2_ParallelToSequence,100,[],"[999, 1999]",,00:11:57
Bose Average J,Atomic_Size2_Skip,300,"[966, 2003]","[999, 1999]",1.0,00:19:26
Bose Average WC,Atomic_Size2_Skip,300,[],"[999, 1999]",,00:17:15
Bose Average J,Atomic_Size2_SerialRemoval,100,"[977, 1938]","[999, 1999]",1.0,00:14:19
Bose Average WC,Atomic_Size2_SerialRemoval,100,[],"[999, 1999]",,00:11:55
Bose Average J,Atomic_Size2_SerialRemoval,500,"[1008, 1924]","[999, 1999]",1.0,00:22:40
Bose Average WC,Atomic_Size2_SerialRemoval,500,[1803],"[999, 1999]",0.6666666666666666,00:19:40
Bose Average J,Atomic_Size2_SerialRemoval,600,"[954, 1913]","[999, 1999]",1.0,00:23:33
Bose Average WC,Atomic_Size2_SerialRemoval,600,[],"[999, 1999]",,00:21:01
Bose Average J,Atomic_Size2_SerialMove,600,"[1304, 1928]","[999, 1999]",0.5,00:23:57
Bose Average WC,Atomic_Size2_SerialMove,600,[1928],"[999, 1999]",0.6666666666666666,00:21:26
Bose Average J,Atomic_Size2_ConditionalRemoval,100,[1896],"[999, 1999]",0.6666666666666666,00:14:05
Bose Average WC,Atomic_Size2_ConditionalRemoval,100,[1952],"[999, 1999]",0.6666666666666666,00:11:53
Bose Average J,Atomic_Size2_ConditionalMove,200,"[476, 958, 1932]","[999, 1999]",0.8,00:18:12
Bose Average WC,Atomic_Size2_ConditionalMove,200,"[1008, 2042]","[999, 1999]",1.0,00:15:33
Bose Average J,Atomic_Size2_ConditionalRemoval,500,"[742, 2001]","[999, 1999]",0.5,00:23:07
Bose Average WC,Atomic_Size2_ConditionalRemoval,500,[2098],"[999, 1999]",0.6666666666666666,00:19:51
Bose Average J,Atomic_Size2_SerialMove,500,"[1335, 1996]","[999, 1999]",0.5,00:22:57
Bose Average WC,Atomic_Size2_SerialMove,500,[1930],"[999, 1999]",0.6666666666666666,00:19:44
