Algorithm,Accuracy,Latency,Versatility,Scalability,Milliseconds per Case,Milliseconds per Event,Parameter Sensitivity (STD),Robustness
RINV,0.8641975308641975,54.04231802148467,0.8541666666666666,00:00:02,1.517683177132417,0.058217351432091405,0.054226659935544444,0.6000436914568728
ProDrift,0.5964912280701754,18.294117647058815,0.38541666666666663,00:03:31,109.95156904350306,4.217671535115782,0.08439258367711411,0.49995326551380476
J-Measure,0.7901234567901234,52.629629629629626,0.7708333333333333,00:09:14,288.78571855312276,11.077634593896086,0.07764126508160589,1.0500117134073785
Window Count,0.7428571428571429,41.57142857142857,0.625,00:09:13,288.2316437424236,11.056380640198656,0.1832978744988118,1.0286646830268378
EMD,0.8333333333333334,43.896551724137936,0.875,00:13:05,408.96213597284935,15.687524742374357,0.03387752903080029,1.002616253297374
PGM,0.7647058823529412,48.45000000000002,0.65625,00:00:24,12.974655413648165,0.4976994443292419,0.04618787683409851,1.0465242762879567
ADWIN J,0.75,66.72,0.59375,00:03:41,115.29827051570393,4.422767567871267,0.028353001745894054,0.953118476538833
LCDD,0.6741573033707865,26.0,0.7083333333333333,00:00:00,0.0641129364031547,0.002459331042318146,0.22562691031430215,0.9907692062681164
