Algorithm/Options,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Zheng DBSCAN,Atomic_Size2_SerialRemoval,250,50.0,"[941.6666666666666, 1892.0, 1950.5]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialRemoval,250,75.0,"[941.6666666666666, 1931.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,100,10.0,"[901.0, 918.0, 950.5, 1863.0, 1895.0, 1913.0, 1925.0, 1951.25]","[999, 1999]",0.4,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,100,20.0,"[912.3333333333334, 950.5, 1863.0, 1911.0, 1951.25]","[999, 1999]",0.5714285714285715,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,100,30.0,"[934.1428571428571, 1863.0, 1934.0]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_Swap,100,10.0,"[909.5, 949.6666666666666, 1922.0, 1943.5]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_Swap,100,20.0,"[909.5, 949.6666666666666, 1930.6]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_Swap,100,30.0,"[909.5, 949.6666666666666, 1930.6]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_Skip,250,25.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Skip,250,50.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Skip,250,75.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,500,50.0,"[952.75, 1923.25]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,500,100.0,"[952.75, 1923.25]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,500,150.0,"[952.75, 1923.25]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Substitute,250,25.0,"[936.0, 1941.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_Substitute,250,50.0,"[936.0, 1941.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_Substitute,250,75.0,"[936.0, 1941.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,500,50.0,"[934.1428571428571, 1925.125]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,500,100.0,"[934.1428571428571, 1925.125]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence,500,150.0,"[934.1428571428571, 1925.125]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Skip,500,50.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Skip,500,100.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Skip,500,150.0,"[921.0, 1940.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelMove,100,10.0,"[876.0, 897.0, 954.6666666666666, 1902.0, 1927.0, 1944.5]","[999, 1999]",0.5,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelMove,100,20.0,"[876.0, 897.0, 954.6666666666666, 1902.0, 1941.0]","[999, 1999]",0.5714285714285715,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelMove,100,30.0,"[886.5, 954.6666666666666, 1934.5]","[999, 1999]",0.8,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,250,25.0,"[952.75, 1886.0, 1920.5, 1966.0]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,250,50.0,"[952.75, 1923.25]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelToSequence,250,75.0,"[952.75, 1923.25]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_Substitute,100,10.0,"[910.0, 934.0, 950.0, 1929.5, 1952.5]","[999, 1999]",0.5714285714285715,00:00:04
Zheng DBSCAN,Atomic_Size2_Substitute,100,20.0,"[910.0, 944.6666666666666, 1941.0]","[999, 1999]",0.8,00:00:04
Zheng DBSCAN,Atomic_Size2_Substitute,100,30.0,"[936.0, 1941.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_Frequency,250,25.0,"[1374.3939698492463, 2809.0588235294117]","[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency,250,50.0,[1487.3074074074075],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency,250,75.0,[1487.3074074074075],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Swap,500,50.0,"[933.6, 1930.6]","[999, 1999]",1.0,00:00:03
