Algorithm,Log Source,Log,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,P-Value,MRID,Epsilon,Window Size,SW Step Size
Maaradji Runs,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,,,[],"[999, 1999]",,,00:07:24,,,,150.0,
Martjushev ADWIN J,Ostovar,Atomic_Substitute_output_Substitute_5,200.0,400.0,"[799, 1920]","[999, 1999]",1.0,139.5,00:08:12,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Substitute_output_Substitute_5,200.0,400.0,[],"[999, 1999]",,,00:04:45,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_ROI,400.0,400.0,[399],[499],1.0,100.0,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_ROI,400.0,400.0,[],[499],,,00:00:05,0.4,,,,
Martjushev ADWIN J,Ostovar,Composite_ROI_output_ROI,300.0,400.0,"[924, 1950]","[999, 1999]",1.0,62.0,00:06:31,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_ROI_output_ROI,300.0,400.0,[],"[999, 1999]",,,00:03:23,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_cp,300.0,500.0,[449],[499],1.0,50.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_cp,300.0,500.0,[],[499],,,00:00:03,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_Frequency_output_Frequency_2,200.0,600.0,"[988, 2013]","[999, 1999]",1.0,12.5,00:00:18,,,,,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR,400.0,400.0,[981],"[999, 1999]",0.6666666666666666,18.0,00:00:48,,,,,
Earth Mover's Distance,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval,,,"[1172, 1412, 1784, 2266]","[999, 1999]",0.3333333333333333,173.0,00:12:23,,,,200.0,2.0
Martjushev ADWIN J,Ostovar,Composite_IRO_output_IRO_5,400.0,500.0,"[949, 1943]","[999, 1999]",1.0,53.0,00:08:23,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_IRO_output_IRO_5,400.0,500.0,[],"[999, 1999]",,,00:04:09,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_lp,300.0,700.0,"[469, 1216]",[499],0.6666666666666666,30.0,00:00:06,,,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,[],[499],,,00:00:00,,500.0,50.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,[],[499],,,00:00:00,,500.0,100.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,[],[499],,,00:00:00,,500.0,150.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,[],[499],,,00:00:00,,500.0,200.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,[],[499],,,00:00:00,,500.0,250.0,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_sw,100.0,700.0,[],[499],,,00:00:00,,,,,
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO_2,300.0,400.0,"[894, 1940]","[999, 1999]",1.0,82.0,00:08:12,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_RIO_output_RIO_2,300.0,400.0,[],"[999, 1999]",,,00:05:52,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,100.0,400.0,[991],"[999, 1999]",0.6666666666666666,8.0,00:00:15,,,,,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO,100.0,600.0,"[912, 1824]","[999, 1999]",1.0,131.0,00:00:16,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,400.0,400.0,[1899],"[999, 1999]",0.6666666666666666,100.0,00:08:07,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,400.0,400.0,[],"[999, 1999]",,,00:04:33,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cf,300.0,600.0,[319],[499],1.0,180.0,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cf,300.0,600.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,100.0,700.0,"[1030, 2058]","[999, 1999]",1.0,45.0,00:00:35,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,100.0,700.0,"[1108, 2066]","[999, 1999]",1.0,88.0,00:01:58,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_RIO,400.0,500.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_RIO,400.0,500.0,[],[499],,,00:00:03,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,200.0,500.0,[1082],"[999, 1999]",0.6666666666666666,83.0,00:00:45,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cf,400.0,600.0,[643],[499],1.0,144.0,00:00:02,,,,,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR,100.0,400.0,[981],"[999, 1999]",0.6666666666666666,18.0,00:00:56,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_cp,200.0,400.0,"[520, 1173]",[499],0.6666666666666666,21.0,00:00:05,,,,,
Maaradji Runs,Ostovar,Atomic_Swap_output_Swap_5,,,[],"[999, 1999]",,,00:05:35,,,,300.0,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,300.0,400.0,[1894],"[999, 1999]",0.6666666666666666,105.0,00:00:33,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cb,100.0,600.0,[540],[499],1.0,41.0,00:00:00,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cd,400.0,500.0,[],[499],,,00:00:00,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,300.0,500.0,[],"[999, 1999]",,,00:00:13,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_ROI,200.0,500.0,"[469, 914]",[499],0.6666666666666666,30.0,00:00:02,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pl,100.0,400.0,[],[499],,,00:00:00,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_OIR,100.0,600.0,[487],[499],1.0,12.0,00:00:05,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pl,300.0,500.0,[],[499],,,00:00:00,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_re,200.0,700.0,[520],[499],1.0,21.0,00:00:03,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_RIO,400.0,700.0,[600],[499],1.0,101.0,00:00:00,,,,,
Bose J,Ostovar,Nested_OIR_output_OIR_5,,,"[790, 1954]","[999, 1999]",0.5,45.0,00:30:47,,,,600.0,2.0
Bose WC,Ostovar,Nested_OIR_output_OIR_5,,,[2046],"[999, 1999]",0.6666666666666666,47.0,00:35:01,,,,600.0,2.0
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_OIR,400.0,500.0,[399],[499],1.0,100.0,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_OIR,400.0,500.0,[],[499],,,00:00:04,0.4,,,,
Earth Mover's Distance,Ostovar,Atomic_SerialMove_output_SerialMove_5,,,"[948, 1946, 2596]","[999, 1999]",0.8,52.0,00:20:22,,,,200.0,2.0
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,300.0,400.0,[2008],"[999, 1999]",0.6666666666666666,9.0,00:00:32,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_OIR,200.0,700.0,[503],[499],1.0,4.0,00:00:06,,,,,
Process Graph Metrics,Ostovar,Nested_IOR_output_IOR_5,300.0,700.0,"[1015, 1950]","[999, 1999]",1.0,32.5,00:00:52,,,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cb,,,[],[499],,,00:00:00,,800.0,80.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cb,,,[],[499],,,00:00:00,,800.0,160.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cb,,,[],[499],,,00:00:00,,800.0,240.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cb,,,[],[499],,,00:00:00,,800.0,320.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cb,,,[],[499],,,00:00:00,,800.0,400.0,,
Maaradji Runs,Ceravolo,sudden_trace_noise0_1000_pm,,,[498],[499],1.0,1.0,00:00:07,,,,300.0,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cb,300.0,600.0,[540],[499],1.0,41.0,00:00:00,,,,,
Maaradji Runs,Ceravolo,sudden_trace_noise15_1000_pl,,,[],[499],,,00:00:05,,,,50.0,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_sw,100.0,400.0,[],[499],,,00:00:01,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_re,300.0,500.0,[538],[499],1.0,39.0,00:00:04,,,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,[],[499],,,00:00:00,,500.0,50.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,[],[499],,,00:00:00,,500.0,100.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,[],[499],,,00:00:00,,500.0,150.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,[],[499],,,00:00:00,,500.0,200.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,[],[499],,,00:00:00,,500.0,250.0,,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI,400.0,600.0,"[961, 1825]","[999, 1999]",1.0,106.0,00:00:38,,,,,
Bose J,Ceravolo,sudden_trace_noise10_1000_IOR,,,[482],[499],1.0,17.0,00:00:22,,,,200.0,2.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_IOR,,,[482],[499],1.0,17.0,00:00:19,,,,200.0,2.0
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_IOR,400.0,400.0,[570],[499],1.0,71.0,00:00:01,,,,,
Martjushev ADWIN J,Ostovar,Nested_RIO_output_RIO_5,200.0,700.0,"[914, 1880]","[999, 1999]",1.0,102.0,00:12:12,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_RIO_output_RIO_5,200.0,700.0,[],"[999, 1999]",,,00:08:20,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pm,400.0,700.0,[600],[499],1.0,101.0,00:00:00,,,,,
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_5,,,[1509.9586549062844],"[999, 1999]",,,00:00:07,,500.0,50.0,,
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_5,,,[1509.9586549062844],"[999, 1999]",,,00:00:07,,500.0,100.0,,
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_5,,,[1509.9586549062844],"[999, 1999]",,,00:00:07,,500.0,150.0,,
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_5,,,[1509.9586549062844],"[999, 1999]",,,00:00:07,,500.0,200.0,,
Zheng DBSCAN,Ostovar,Nested_IOR_output_IOR_5,,,[1509.9586549062844],"[999, 1999]",,,00:00:07,,500.0,250.0,,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,200.0,500.0,[1056],"[999, 1999]",0.6666666666666666,57.0,00:00:18,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IRO,400.0,700.0,[600],[499],1.0,101.0,00:00:00,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cb,100.0,600.0,[449],[499],1.0,50.0,00:00:05,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cb,100.0,600.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_cd,300.0,400.0,[],[499],,,00:00:01,,,,,
Martjushev ADWIN J,Ostovar,Atomic_Frequency_output_Frequency,100.0,500.0,[499],"[999, 1999]",,,00:02:34,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Frequency_output_Frequency,100.0,500.0,[],"[999, 1999]",,,00:01:27,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,400.0,700.0,[1075],"[999, 1999]",0.6666666666666666,76.0,00:00:11,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_IRO,200.0,700.0,[409],[499],1.0,90.0,00:00:11,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_IRO,200.0,700.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_RIO,100.0,600.0,[],[499],,,00:00:09,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_RIO,100.0,600.0,[],[499],,,00:00:05,0.4,,,,
Martjushev ADWIN J,Ostovar,Composite_IRO_output_IRO,300.0,700.0,"[961, 1943]","[999, 1999]",1.0,47.0,00:06:58,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_IRO_output_IRO,300.0,700.0,[],"[999, 1999]",,,00:03:55,0.4,,,,
Earth Mover's Distance,Ostovar,Atomic_Substitute_output_Substitute_2,,,"[938, 1940]","[999, 1999]",1.0,60.0,00:34:06,,,,400.0,2.0
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_cp,400.0,700.0,[],[499],,,00:00:33,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,100.0,400.0,[1899],"[999, 1999]",0.6666666666666666,100.0,00:08:47,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,100.0,400.0,[],"[999, 1999]",,,00:06:04,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip_5,200.0,500.0,[1028],"[999, 1999]",0.6666666666666666,29.0,00:01:08,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_lp,100.0,500.0,[474],[499],1.0,25.0,00:00:02,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,400.0,700.0,"[1047, 2112]","[999, 1999]",1.0,80.5,00:01:15,,,,,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO_2,300.0,600.0,"[912, 1951]","[999, 1999]",1.0,67.5,00:00:35,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cd,200.0,400.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cd,200.0,400.0,[],[499],,,00:00:03,0.4,,,,
Earth Mover's Distance,Ostovar,Atomic_Swap_output_Swap_5,,,"[946, 1940]","[999, 1999]",1.0,56.0,00:36:22,,,,400.0,2.0
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cf,100.0,400.0,[319],[499],1.0,180.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cf,100.0,400.0,[],[499],,,00:00:05,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_Substitute_output_Substitute_5,200.0,500.0,"[829, 1930]","[999, 1999]",1.0,119.5,00:08:16,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Substitute_output_Substitute_5,200.0,500.0,[],"[999, 1999]",,,00:05:04,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_lp,400.0,600.0,[600],[499],1.0,101.0,00:00:00,,,,,
Process Graph Metrics,Ostovar,Nested_RIO_output_RIO_5,100.0,400.0,"[1045, 2085]","[999, 1999]",1.0,66.0,00:00:40,,,,,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_5,100.0,400.0,[1017],"[999, 1999]",0.6666666666666666,18.0,00:01:43,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_pm,400.0,600.0,[1182],[499],,,00:00:51,,,,,
Maaradji Runs,Ostovar,Atomic_Frequency_output_Frequency,,,[],"[999, 1999]",,,00:04:03,,,,100.0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cd,200.0,500.0,[],[499],,,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cd,200.0,500.0,[],[499],,,00:00:04,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,400.0,600.0,"[949, 1750]","[999, 1999]",0.5,50.0,00:08:26,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,400.0,600.0,[],"[999, 1999]",,,00:04:56,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cp,300.0,500.0,[454],[499],1.0,45.0,00:00:06,,,,,
Martjushev ADWIN J,Ostovar,Composite_ORI_output_ORI,200.0,500.0,"[779, 1900]","[999, 1999]",0.5,99.0,00:08:20,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_ORI_output_ORI,200.0,500.0,[],"[999, 1999]",,,00:05:01,0.4,,,,
Process Graph Metrics,Ostovar,Nested_OIR_output_OIR_5,400.0,500.0,[1063],"[999, 1999]",0.6666666666666666,64.0,00:00:22,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_ROI,300.0,500.0,[497],[499],1.0,2.0,00:00:02,,,,,
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_OIR,,,[448],[499],1.0,51.0,00:00:05,,,,300.0,2.0
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_ROI,100.0,400.0,[379],[499],1.0,120.0,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_ROI,100.0,400.0,[],[499],,,00:00:04,0.4,,,,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,[1505.460625],"[999, 1999]",,,00:00:12,,300.0,30.0,,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,[1505.460625],"[999, 1999]",,,00:00:12,,300.0,60.0,,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,[1505.460625],"[999, 1999]",,,00:00:12,,300.0,90.0,,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,[1505.460625],"[999, 1999]",,,00:00:12,,300.0,120.0,,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,[1505.460625],"[999, 1999]",,,00:00:12,,300.0,150.0,,
Martjushev ADWIN J,Ostovar,Atomic_Frequency_output_Frequency_2,400.0,400.0,[],"[999, 1999]",,,00:03:13,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Frequency_output_Frequency_2,400.0,400.0,[],"[999, 1999]",,,00:01:52,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_pm,400.0,600.0,[670],[499],1.0,171.0,00:00:02,,,,,
Process Graph Metrics,Ostovar,Atomic_Swap_output_Swap,200.0,500.0,[],"[999, 1999]",,,00:00:11,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_OIR,100.0,500.0,[449],[499],1.0,50.0,00:00:11,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_OIR,100.0,500.0,[],[499],,,00:00:05,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cb,200.0,400.0,[],[499],,,00:00:05,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cb,200.0,400.0,[],[499],,,00:00:02,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_pm,400.0,400.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_pm,400.0,400.0,[],[499],,,00:00:03,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_OIR,200.0,500.0,[501],[499],1.0,2.0,00:00:06,,,,,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip_5,400.0,400.0,[1046],"[999, 1999]",0.6666666666666666,47.0,00:01:49,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_sw,200.0,500.0,[],[499],,,00:00:00,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,300.0,500.0,[],"[999, 1999]",,,00:08:38,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,300.0,500.0,[],"[999, 1999]",,,00:05:03,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cb,300.0,400.0,[540],[499],1.0,41.0,00:00:00,,,,,
Martjushev ADWIN J,Ostovar,Atomic_Loop_output_Loop_2,400.0,500.0,"[964, 1870]","[999, 1999]",1.0,82.0,00:06:22,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_Loop_output_Loop_2,400.0,500.0,[],"[999, 1999]",,,00:04:56,0.4,,,,
Martjushev ADWIN J,Ostovar,Composite_IOR_output_IOR_5,400.0,500.0,"[919, 1955]","[999, 1999]",1.0,62.0,00:06:11,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_IOR_output_IOR_5,400.0,500.0,[],"[999, 1999]",,,00:04:53,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cf,400.0,600.0,[765],[499],,,00:00:12,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cf,300.0,400.0,[329],[499],1.0,170.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cf,300.0,400.0,[],[499],,,00:00:03,0.4,,,,
Maaradji Runs,Ostovar,Composite_IRO_output_IRO_5,,,[],"[999, 1999]",,,00:06:59,,,,100.0,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO,400.0,500.0,[1016],"[999, 1999]",0.6666666666666666,17.0,00:01:08,,,,,
Martjushev ADWIN J,Ostovar,Nested_IRO_output_IRO_5,100.0,400.0,"[924, 1950]","[999, 1999]",1.0,62.0,00:13:57,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_IRO_output_IRO_5,100.0,400.0,[],"[999, 1999]",,,00:06:38,0.4,,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cp,,,[],[499],,,00:00:00,,800.0,80.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cp,,,[],[499],,,00:00:00,,800.0,160.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cp,,,[],[499],,,00:00:00,,800.0,240.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cp,,,[],[499],,,00:00:00,,800.0,320.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_cp,,,[],[499],,,00:00:00,,800.0,400.0,,
Maaradji Runs,Ceravolo,sudden_trace_noise0_1000_pm,,,[438],[499],1.0,61.0,00:00:07,,,,100.0,
Bose J,Ceravolo,sudden_trace_noise15_1000_lp,,,[],[499],,,00:00:22,,,,100.0,2.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_lp,,,[502],[499],1.0,3.0,00:00:21,,,,100.0,2.0
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_rp,100.0,600.0,[],[499],,,00:00:13,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_rp,100.0,600.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_IRO,100.0,400.0,[],[499],,,00:00:09,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_IRO,100.0,400.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI,100.0,600.0,"[994, 1993]","[999, 1999]",1.0,5.5,00:00:19,,,,,
Martjushev ADWIN J,Ostovar,Nested_OIR_output_OIR_5,300.0,400.0,"[779, 1920]","[999, 1999]",0.5,79.0,00:08:32,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_OIR_output_OIR_5,300.0,400.0,[],"[999, 1999]",,,00:05:33,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_rp,100.0,600.0,[596],[499],1.0,97.0,00:00:03,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_IOR,200.0,500.0,[],[499],,,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_IOR,200.0,500.0,[],[499],,,00:00:04,0.4,,,,
Martjushev ADWIN J,Ostovar,Composite_ORI_output_ORI,400.0,700.0,"[974, 1850]","[999, 1999]",1.0,87.0,00:07:36,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_ORI_output_ORI,400.0,700.0,[],"[999, 1999]",,,00:04:01,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pl,400.0,600.0,[],[499],,,00:00:00,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_IOR,300.0,500.0,[],[499],,,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_IOR,300.0,500.0,[],[499],,,00:00:04,0.4,,,,
Process Graph Metrics,Ostovar,Nested_IOR_output_IOR,200.0,500.0,"[969, 1541, 2081]","[999, 1999]",0.8,56.0,00:00:24,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_sw,200.0,700.0,[],[499],,,00:00:10,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_sw,200.0,700.0,[],[499],,,00:00:04,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,100.0,700.0,"[699, 1900]","[999, 1999]",0.5,99.0,00:06:16,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,100.0,700.0,[],"[999, 1999]",,,00:03:39,0.4,,,,
Martjushev ADWIN J,Ostovar,Composite_OIR_output_OIR_2,300.0,700.0,"[961, 1975]","[999, 1999]",1.0,31.0,00:07:59,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_OIR_output_OIR_2,300.0,700.0,[],"[999, 1999]",,,00:04:38,0.4,,,,
Process Graph Metrics,Ostovar,Composite_RIO_output_RIO_5,400.0,400.0,"[1023, 2173]","[999, 1999]",1.0,99.0,00:00:31,,,,,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_5,200.0,500.0,"[955, 1976]","[999, 1999]",1.0,33.5,00:00:58,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pm,300.0,700.0,[1233],[499],,,00:00:29,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_re,300.0,500.0,[449],[499],1.0,50.0,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_re,300.0,500.0,[],[499],,,00:00:03,0.4,,,,
