Algorithm,Log Source,Log,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,P-Value,MRID,Epsilon,Window Size,SW Step Size
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_2,300.0,700.0,"[1080, 2223]","[999, 1999]",0.5,81.0,00:00:54,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,400.0,500.0,[1047],"[999, 1999]",0.6666666666666666,48.0,00:00:34,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,100.0,600.0,[1799],"[999, 1999]",0.6666666666666666,200.0,00:06:56,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,100.0,600.0,[],"[999, 1999]",,,00:03:50,0.4,,,,
Process Graph Metrics,Ostovar,Composite_OIR_output_OIR,400.0,400.0,"[1045, 2027]","[999, 1999]",1.0,37.0,00:00:37,,,,,
Process Graph Metrics,Ostovar,Composite_OIR_output_OIR_2,100.0,600.0,[976],"[999, 1999]",0.6666666666666666,23.0,00:00:39,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_rp,400.0,700.0,[],[499],,,00:00:08,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_rp,400.0,700.0,[],[499],,,00:00:03,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,200.0,500.0,[949],"[999, 1999]",0.6666666666666666,50.0,00:06:57,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,200.0,500.0,[],"[999, 1999]",,,00:03:21,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_IOR,400.0,400.0,[],[499],,,00:00:07,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_IOR,400.0,400.0,[],[499],,,00:00:03,0.4,,,,
Bose J,Ceravolo,sudden_trace_noise10_1000_cb,,,[456],[499],1.0,43.0,00:00:22,,,,100.0,2.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_cb,,,[],[499],,,00:00:18,,,,100.0,2.0
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_RIO,200.0,500.0,[],[499],,,00:00:01,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_rp,100.0,700.0,[601],[499],1.0,102.0,00:00:04,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,300.0,400.0,[1022],"[999, 1999]",0.6666666666666666,23.0,00:00:09,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,200.0,500.0,"[1148, 2025]","[999, 1999]",1.0,87.5,00:00:11,,,,,
Bose J,Ceravolo,sudden_trace_noise15_1000_pm,,,[414],[499],1.0,85.0,00:00:21,,,,200.0,2.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_pm,,,[374],[499],1.0,125.0,00:00:19,,,,200.0,2.0
Martjushev ADWIN J,Ostovar,Nested_ORI_output_ORI,400.0,400.0,"[941, 1962]","[999, 1999]",1.0,47.5,00:07:41,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_ORI_output_ORI,400.0,400.0,[],"[999, 1999]",,,00:04:59,0.4,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,100.0,400.0,[1034],"[999, 1999]",0.6666666666666666,35.0,00:01:24,,,,,
Martjushev ADWIN J,Ostovar,Composite_IRO_output_IRO_5,300.0,500.0,"[949, 1943]","[999, 1999]",1.0,53.0,00:09:29,0.4,,,,
Martjushev ADWIN WC,Ostovar,Composite_IRO_output_IRO_5,300.0,500.0,[],"[999, 1999]",,,00:04:49,0.4,,,,
