Algorithm/Options,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Zheng DBSCAN,Atomic_Size2_SerialMove_5,500,100.0,[1494.8447088290545],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialMove_5,500,150.0,[1494.8447088290545],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Skip_5,250,25.0,[1500.4393530997304],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Skip_5,250,50.0,[1500.4393530997304],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Skip_5,250,75.0,[1500.4393530997304],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ParallelToSequence_5,100,10.0,[1501.3929773929774],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ParallelToSequence_5,100,20.0,[1501.3929773929774],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ParallelToSequence_5,100,30.0,[1501.3929773929774],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,500,50.0,[1504.9023591087812],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,500,100.0,[1504.9023591087812],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,500,150.0,[1504.9023591087812],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Swap_5,500,50.0,[1497.5351458885941],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Swap_5,500,100.0,[1497.5351458885941],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Swap_5,500,150.0,[1497.5351458885941],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Loop_5,100,10.0,"[618.8168028004667, 1421.8973384030419, 1698.5806451612902, 2365.1334894613583]","[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Loop_5,100,20.0,[1491.0870827285921],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Loop_5,100,30.0,[1491.0870827285921],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Loop_5,500,50.0,[1477.9993373094765],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Loop_5,500,100.0,[1477.9993373094765],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Loop_5,500,150.0,[1477.9993373094765],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Frequency_5,250,25.0,[1520.9370134465676],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency_5,250,50.0,[1520.9370134465676],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency_5,250,75.0,[1520.9370134465676],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,250,25.0,[1511.1471553610504],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,250,50.0,[1511.1471553610504],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,250,75.0,[1511.1471553610504],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalMove_5,250,25.0,[1503.456082924168],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalMove_5,250,50.0,[1503.456082924168],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalMove_5,250,75.0,[1503.456082924168],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence_5,500,50.0,[1518.2930019620667],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence_5,500,100.0,[1518.2930019620667],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalToSequence_5,500,150.0,[1518.2930019620667],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval_5,100,10.0,"[836.3447653429603, 2312.419936373277]","[999, 1999]",0.5,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval_5,100,20.0,[1515.0082886396879],"[999, 1999]",,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval_5,100,30.0,[1515.0082886396879],"[999, 1999]",,00:00:03
